Trial,Seq,Value
trial_0,mas_4,0.13
trial_0,mas_8,0.14
trial_0,mas_16,0.14
trial_0,mas_17,0.15
trial_0,mas_18,0.16
trial_0,mas_19,0.17
trial_0,mas_20,0.15
trial_0,mas_21,0.14
trial_0,mas_32,0.23
trial_0,mas_33,0.25
trial_0,mas_34,0.26
trial_0,mas_36,0.27
trial_0,mas_37,0.28
trial_0,mas_38,0.27
trial_0,mas_39,0.27
trial_0,mas_41,0.26
trial_0,mas_45,0.25
trial_0,mas_46,0.25
trial_0,mas_48,0.26
trial_0,mas_50,0.26
trial_0,mas_51,0.27
trial_0,mas_52,0.26
trial_0,mas_53,0.24
trial_0,mas_54,0.29
trial_0,mas_55,0.26
trial_0,mas_56,0.22
trial_0,mas_57,0.21
trial_0,mas_58,0.18
trial_0,mas_59,0.18
trial_0,mas_60,0.18
trial_0,mas_64,0.21
trial_0,mas_82,0.21
trial_0,sub1_8,0.2
trial_0,sub1_19,0.2
trial_0,sub1_32,0.19
trial_0,sub1_33,0.2
trial_0,sub1_34,0.22
trial_0,sub1_35,0.22
trial_0,sub1_36,0.23
trial_0,sub1_37,0.23
trial_0,sub1_38,0.23
trial_0,sub1_39,0.22
trial_0,sub1_40,0.24
trial_0,sub1_41,0.23
trial_0,sub1_42,0.23
trial_0,sub1_43,0.23
trial_0,sub1_44,0.23
trial_0,sub1_45,0.23
trial_0,sub1_46,0.23
trial_0,sub1_47,0.23
trial_0,sub1_48,0.23
trial_0,sub1_49,0.24
trial_0,sub1_50,0.24
trial_0,sub1_51,0.24
trial_0,sub1_52,0.24
trial_0,sub1_53,0.24
trial_0,sub1_54,0.24
trial_0,sub1_55,0.24
trial_0,sub1_56,0.21
trial_0,sub1_57,0.2
trial_0,sub1_58,0.2
trial_0,sub1_59,0.22
trial_0,sub1_60,0.22
trial_0,sub1_61,0.22
trial_0,sub2_8,0.26
trial_0,sub2_16,0.27
trial_0,sub2_18,0.3
trial_0,sub2_19,0.29
trial_0,sub2_20,0.3
trial_0,sub2_21,0.31
trial_0,sub2_32,0.29
trial_0,sub2_33,0.27
trial_0,sub2_34,0.27
trial_0,sub2_35,0.27
trial_0,sub2_36,0.28
trial_0,sub2_37,0.28
trial_0,sub2_38,0.28
trial_0,sub2_40,0.28
trial_0,sub2_41,0.28
trial_0,sub2_45,0.29
trial_0,sub2_48,0.3
trial_0,sub2_52,0.29
trial_0,sub2_53,0.29
trial_0,sub2_54,0.31
trial_0,sub2_55,0.33
trial_0,sub2_56,0.31
trial_0,sub2_57,0.29
trial_0,sub2_58,0.28
trial_0,sub2_59,0.29
trial_0,sub2_60,0.33
trial_0,sub3_8,0.23
trial_0,sub3_16,0.18
trial_0,sub3_17,0.19
trial_0,sub3_18,0.18
trial_0,sub3_19,0.2
trial_0,sub3_20,0.21
trial_0,sub3_21,0.24
trial_0,sub3_32,0.23
trial_0,sub3_33,0.25
trial_0,sub3_34,0.26
trial_0,sub3_35,0.26
trial_0,sub3_36,0.27
trial_0,sub3_37,0.28
trial_0,sub3_38,0.28
trial_0,sub3_39,0.28
trial_0,sub3_40,0.28
trial_0,sub3_41,0.28
trial_0,sub3_42,0.29
trial_0,sub3_43,0.29
trial_0,sub3_44,0.29
trial_0,sub3_45,0.28
trial_0,sub3_46,0.29
trial_0,sub3_47,0.3
trial_0,sub3_48,0.28
trial_0,sub3_49,0.27
trial_0,sub3_50,0.27
trial_0,sub3_51,0.25
trial_0,sub3_52,0.24
trial_0,sub3_53,0.25
trial_0,sub3_54,0.27
trial_0,sub3_55,0.27
trial_0,sub3_56,0.26
trial_0,sub3_57,0.25
trial_0,sub3_58,0.24
trial_0,sub3_59,0.26
trial_0,sub3_60,0.25
trial_0,sub3_61,0.25
trial_0,sub3_64,0.27
