Trial,Seq,Value
trial_0,mas_2,0.18
trial_0,mas_3,0.17
trial_0,mas_5,0.17
trial_0,mas_6,0.16
trial_0,mas_7,0.16
trial_0,mas_8,0.15
trial_0,mas_10,0.14
trial_0,mas_11,0.16
trial_0,mas_12,0.16
trial_0,mas_13,0.14
trial_0,mas_14,0.15
trial_0,mas_15,0.14
trial_0,mas_16,0.15
trial_0,mas_17,0.14
trial_0,mas_18,0.14
trial_0,mas_19,0.14
trial_0,mas_20,0.15
trial_0,mas_22,0.18
trial_0,mas_24,0.18
trial_0,mas_25,0.21
trial_0,mas_29,0.23
trial_0,mas_30,0.24
trial_0,mas_32,0.27
trial_0,mas_33,0.26
trial_0,mas_34,0.23
trial_0,mas_35,0.22
trial_0,mas_36,0.23
trial_0,mas_37,0.22
trial_0,mas_38,0.21
trial_0,mas_39,0.2
trial_0,mas_40,0.22
trial_0,mas_41,0.21
trial_0,mas_42,0.18
trial_0,mas_43,0.18
trial_0,mas_44,0.17
trial_0,mas_50,0.22
trial_0,mas_51,0.23
trial_0,mas_52,0.21
trial_0,mas_53,0.21
trial_0,mas_55,0.22
trial_0,mas_57,0.22
trial_0,mas_58,0.2
trial_0,mas_59,0.19
trial_0,mas_60,0.18
trial_0,mas_61,0.17
trial_0,mas_63,0.2
trial_0,mas_66,0.17
trial_0,mas_67,0.16
trial_0,mas_68,0.16
trial_0,mas_69,0.18
trial_0,mas_71,0.17
trial_0,sub1_2,0.31
trial_0,sub1_3,0.38
trial_0,sub1_6,0.37
trial_0,sub1_8,0.44
trial_0,sub1_9,0.41
trial_0,sub1_11,0.32
trial_0,sub1_12,0.33
trial_0,sub1_13,0.3
trial_0,sub1_14,0.31
trial_0,sub1_15,0.3
trial_0,sub1_16,0.28
trial_0,sub1_17,0.27
trial_0,sub1_18,0.26
trial_0,sub1_19,0.26
trial_0,sub1_20,0.22
trial_0,sub1_22,0.25
trial_0,sub1_24,0.27
trial_0,sub1_25,0.32
trial_0,sub1_27,0.39
trial_0,sub1_29,0.33
trial_0,sub1_30,0.32
trial_0,sub1_32,0.32
trial_0,sub1_33,0.3
trial_0,sub1_34,0.3
trial_0,sub1_35,0.28
trial_0,sub1_36,0.29
trial_0,sub1_38,0.28
trial_0,sub1_39,0.29
trial_0,sub1_40,0.3
trial_0,sub1_41,0.3
trial_0,sub1_44,0.42
trial_0,sub1_45,0.27
trial_0,sub1_47,0.38
trial_0,sub1_49,0.28
trial_0,sub1_50,0.25
trial_0,sub1_51,0.29
trial_0,sub1_52,0.29
trial_0,sub1_53,0.3
trial_0,sub1_54,0.3
trial_0,sub1_59,0.31
trial_0,sub1_60,0.33
trial_0,sub1_62,0.36
trial_0,sub1_63,0.36
trial_0,sub1_64,0.33
trial_0,sub1_65,0.35
trial_0,sub1_67,0.32
trial_0,sub1_68,0.32
trial_0,sub1_69,0.31
trial_0,sub1_71,0.26
trial_0,sub2_2,0.23
trial_0,sub2_3,0.4
trial_0,sub2_8,0.4
trial_0,sub2_12,0.37
trial_0,sub2_13,0.4
trial_0,sub2_14,0.36
trial_0,sub2_16,0.36
trial_0,sub2_17,0.36
trial_0,sub2_18,0.34
trial_0,sub2_19,0.32
trial_0,sub2_20,0.36
trial_0,sub2_27,0.4
trial_0,sub2_29,0.26
trial_0,sub2_30,0.27
trial_0,sub2_31,0.29
trial_0,sub2_32,0.3
trial_0,sub2_33,0.35
trial_0,sub2_34,0.37
trial_0,sub2_35,0.27
trial_0,sub2_36,0.29
trial_0,sub2_38,0.28
trial_0,sub2_39,0.3
trial_0,sub2_40,0.31
trial_0,sub2_41,0.34
trial_0,sub2_43,0.4
trial_0,sub2_44,0.49
trial_0,sub2_45,0.29
trial_0,sub2_47,0.43
trial_0,sub2_49,0.29
trial_0,sub2_50,0.31
trial_0,sub2_51,0.33
trial_0,sub2_52,0.27
trial_0,sub2_53,0.31
trial_0,sub2_59,0.3
trial_0,sub2_62,0.35
trial_0,sub2_63,0.3
trial_0,sub2_67,0.3
trial_0,sub2_69,0.3
trial_0,sub2_71,0.3
trial_0,sub3_2,0.3
trial_0,sub3_3,0.3
trial_0,sub3_4,0.29
trial_0,sub3_6,0.29
trial_0,sub3_7,0.31
trial_0,sub3_8,0.36
trial_0,sub3_10,0.32
trial_0,sub3_11,0.3
trial_0,sub3_12,0.29
trial_0,sub3_13,0.28
trial_0,sub3_14,0.29
trial_0,sub3_15,0.3
trial_0,sub3_16,0.31
trial_0,sub3_17,0.3
trial_0,sub3_18,0.29
trial_0,sub3_19,0.28
trial_0,sub3_20,0.28
trial_0,sub3_23,0.34
trial_0,sub3_27,0.36
trial_0,sub3_29,0.37
trial_0,sub3_30,0.39
trial_0,sub3_32,0.4
trial_0,sub3_33,0.36
trial_0,sub3_34,0.33
trial_0,sub3_35,0.36
trial_0,sub3_36,0.32
trial_0,sub3_38,0.35
trial_0,sub3_39,0.34
trial_0,sub3_40,0.34
trial_0,sub3_41,0.36
trial_0,sub3_42,0.4
trial_0,sub3_43,0.33
trial_0,sub3_44,0.38
trial_0,sub3_47,0.36
trial_0,sub3_48,0.36
trial_0,sub3_49,0.31
trial_0,sub3_50,0.26
trial_0,sub3_51,0.3
trial_0,sub3_52,0.37
trial_0,sub3_53,0.39
trial_0,sub3_54,0.36
trial_0,sub3_56,0.32
trial_0,sub3_58,0.3
trial_0,sub3_59,0.3
trial_0,sub3_60,0.29
trial_0,sub3_62,0.34
trial_0,sub3_63,0.29
trial_0,sub3_64,0.28
trial_0,sub3_65,0.28
trial_0,sub3_67,0.25
trial_0,sub3_68,0.25
trial_0,sub3_71,0.26
trial_1,mas_0,0.16
trial_1,mas_3,0.16
trial_1,mas_4,0.16
trial_1,mas_5,0.18
trial_1,mas_9,0.18
trial_1,mas_11,0.18
trial_1,mas_12,0.16
trial_1,mas_15,0.16
trial_1,mas_16,0.15
trial_1,mas_18,0.19
trial_1,mas_19,0.18
trial_1,mas_20,0.18
trial_1,mas_21,0.17
trial_1,mas_25,0.23
trial_1,mas_27,0.23
trial_1,mas_30,0.24
trial_1,mas_31,0.27
trial_1,mas_32,0.23
trial_1,mas_33,0.26
trial_1,mas_34,0.21
trial_1,mas_35,0.21
trial_1,mas_37,0.2
trial_1,mas_38,0.19
trial_1,mas_39,0.18
trial_1,mas_40,0.19
trial_1,mas_41,0.2
trial_1,mas_42,0.21
trial_1,mas_44,0.21
trial_1,mas_45,0.19
trial_1,mas_46,0.2
trial_1,mas_47,0.14
trial_1,mas_48,0.18
trial_1,mas_49,0.18
trial_1,mas_50,0.17
trial_1,mas_51,0.17
trial_1,mas_52,0.17
trial_1,mas_53,0.18
trial_1,mas_54,0.18
trial_1,mas_55,0.18
trial_1,mas_56,0.2
trial_1,mas_57,0.19
trial_1,mas_58,0.19
trial_1,mas_59,0.2
trial_1,mas_60,0.2
trial_1,mas_61,0.23
trial_1,mas_62,0.24
trial_1,mas_63,0.24
trial_1,mas_64,0.25
trial_1,mas_65,0.25
trial_1,mas_66,0.26
trial_1,mas_68,0.25
trial_1,mas_69,0.25
trial_1,mas_70,0.22
trial_1,mas_71,0.22
trial_1,mas_73,0.2
trial_1,mas_74,0.21
trial_1,mas_75,0.21
trial_1,mas_76,0.21
trial_1,mas_83,0.17
trial_1,mas_84,0.17
trial_1,mas_85,0.16
trial_1,mas_86,0.18
trial_1,mas_87,0.21
trial_1,sub1_0,0.31
trial_1,sub1_2,0.28
trial_1,sub1_3,0.27
trial_1,sub1_4,0.31
trial_1,sub1_5,0.36
trial_1,sub1_11,0.49
trial_1,sub1_12,0.38
trial_1,sub1_15,0.35
