Trial,Seq,Value
trial_0,mas_2,0.38
trial_0,mas_5,0.28
trial_0,mas_6,0.37
trial_0,mas_7,0.36
trial_0,mas_8,0.29
trial_0,mas_9,0.32
trial_0,mas_10,0.34
trial_0,mas_11,0.29
trial_0,mas_12,0.33
trial_0,mas_13,0.39
trial_0,mas_16,0.33
trial_0,mas_17,0.32
trial_0,mas_19,0.31
trial_0,mas_20,0.33
trial_0,mas_23,0.36
trial_0,mas_25,0.34
trial_0,mas_26,0.33
trial_0,mas_28,0.31
trial_0,mas_31,0.32
trial_0,mas_32,0.32
trial_0,mas_33,0.31
trial_0,mas_34,0.31
trial_0,mas_35,0.29
trial_0,mas_36,0.32
trial_0,mas_37,0.31
trial_0,mas_38,0.32
trial_0,mas_39,0.34
trial_0,mas_41,0.32
trial_0,mas_43,0.31
trial_0,mas_46,0.33
trial_0,mas_48,0.36
trial_0,mas_50,0.35
trial_0,mas_52,0.34
trial_0,mas_54,0.31
trial_0,mas_55,0.37
trial_0,mas_58,0.36
trial_0,mas_62,0.31
trial_0,mas_63,0.3
trial_0,mas_64,0.28
trial_0,mas_65,0.31
trial_0,mas_66,0.25
trial_0,mas_67,0.29
trial_0,mas_68,0.5
trial_0,mas_69,0.29
trial_0,mas_71,0.39
trial_0,mas_72,0.26
trial_0,mas_73,0.45
trial_0,mas_74,0.43
trial_0,mas_78,0.41
trial_0,mas_80,0.58
trial_0,mas_82,0.52
trial_0,mas_83,0.58
trial_0,mas_84,0.65
trial_0,mas_85,0.53
trial_0,mas_86,0.42
trial_0,mas_87,0.47
trial_0,mas_88,0.5
trial_0,mas_89,0.5
trial_0,mas_90,0.5
trial_0,mas_91,0.45
trial_0,mas_92,0.45
trial_0,mas_94,0.56
trial_0,mas_95,0.49
trial_0,mas_96,0.5
trial_0,mas_98,0.34
trial_0,mas_99,0.44
trial_0,mas_100,0.33
trial_0,mas_102,0.34
trial_0,mas_103,0.31
trial_0,mas_104,0.33
trial_0,mas_105,0.32
trial_0,mas_106,0.33
trial_0,mas_107,0.32
trial_0,mas_108,0.35
trial_0,mas_109,0.44
trial_0,mas_110,0.27
trial_0,mas_111,0.3
trial_0,mas_112,0.27
trial_0,sub1_1,0.28
trial_0,sub1_2,0.27
trial_0,sub1_5,0.28
trial_0,sub1_6,0.35
trial_0,sub1_7,0.34
trial_0,sub1_8,0.25
trial_0,sub1_9,0.28
trial_0,sub1_10,0.24
trial_0,sub1_11,0.27
trial_0,sub1_12,0.26
trial_0,sub1_13,0.26
trial_0,sub1_14,0.26
trial_0,sub1_15,0.26
trial_0,sub1_16,0.27
trial_0,sub1_17,0.27
trial_0,sub1_18,0.26
trial_0,sub1_19,0.27
trial_0,sub1_20,0.27
trial_0,sub1_22,0.28
trial_0,sub1_23,0.29
trial_0,sub1_24,0.26
trial_0,sub1_25,0.25
trial_0,sub1_26,0.26
trial_0,sub1_27,0.26
trial_0,sub1_28,0.26
trial_0,sub1_29,0.25
trial_0,sub1_30,0.26
trial_0,sub1_31,0.25
trial_0,sub1_32,0.27
trial_0,sub1_33,0.28
trial_0,sub1_34,0.26
trial_0,sub1_35,0.29
trial_0,sub1_36,0.28
trial_0,sub1_37,0.28
trial_0,sub1_38,0.28
trial_0,sub1_39,0.27
trial_0,sub1_40,0.29
trial_0,sub1_41,0.28
trial_0,sub1_43,0.27
trial_0,sub1_44,0.27
trial_0,sub1_45,0.29
trial_0,sub1_46,0.29
trial_0,sub1_47,0.27
trial_0,sub1_49,0.26
trial_0,sub1_50,0.31
trial_0,sub1_52,0.29
trial_0,sub1_54,0.3
trial_0,sub1_58,0.33
trial_0,sub1_61,0.32
trial_0,sub1_62,0.3
trial_0,sub1_63,0.28
trial_0,sub1_64,0.27
trial_0,sub1_65,0.32
trial_0,sub1_66,0.28
trial_0,sub1_67,0.45
trial_0,sub1_69,0.28
trial_0,sub1_71,0.26
trial_0,sub1_72,0.35
trial_0,sub1_73,0.27
trial_0,sub1_74,0.27
trial_0,sub1_75,0.24
trial_0,sub1_76,0.26
trial_0,sub1_77,0.24
trial_0,sub1_78,0.27
trial_0,sub1_80,0.24
trial_0,sub1_81,0.27
trial_0,sub1_82,0.29
trial_0,sub1_83,0.33
trial_0,sub1_84,0.32
trial_0,sub1_85,0.34
trial_0,sub1_86,0.34
trial_0,sub1_87,0.31
trial_0,sub1_88,0.31
trial_0,sub1_89,0.32
trial_0,sub1_90,0.29
trial_0,sub1_91,0.34
trial_0,sub1_93,0.36
trial_0,sub1_94,0.32
trial_0,sub1_95,0.33
trial_0,sub1_96,0.33
trial_0,sub1_97,0.29
trial_0,sub1_98,0.27
