Trial,Seq,Value
trial_0,mas_1,0.21
trial_0,mas_2,0.24
trial_0,mas_8,0.22
trial_0,mas_9,0.24
trial_0,mas_10,0.25
trial_0,mas_11,0.24
trial_0,mas_12,0.23
trial_0,mas_13,0.25
trial_0,mas_14,0.26
trial_0,mas_15,0.27
trial_0,mas_16,0.28
trial_0,mas_17,0.32
trial_0,mas_18,0.26
trial_0,mas_19,0.23
trial_0,mas_20,0.33
trial_0,mas_21,0.23
trial_0,mas_22,0.22
trial_0,mas_23,0.25
trial_0,mas_25,0.24
trial_0,mas_28,0.24
trial_0,mas_29,0.3
trial_0,mas_30,0.33
trial_0,mas_31,0.33
trial_0,mas_32,0.33
trial_0,mas_33,0.35
trial_0,mas_34,0.3
trial_0,mas_35,0.25
trial_0,mas_37,0.22
trial_0,mas_38,0.22
trial_0,mas_39,0.25
trial_0,mas_40,0.25
trial_0,mas_41,0.28
trial_0,mas_42,0.24
trial_0,mas_43,0.25
trial_0,mas_46,0.23
trial_0,mas_47,0.23
trial_0,mas_48,0.23
trial_0,mas_49,0.21
trial_0,mas_50,0.22
trial_0,mas_51,0.21
trial_0,mas_52,0.21
trial_0,mas_53,0.21
trial_0,mas_54,0.2
trial_0,mas_55,0.18
trial_0,mas_56,0.19
trial_0,mas_57,0.23
trial_0,mas_58,0.25
trial_0,mas_59,0.25
trial_0,mas_60,0.24
trial_0,sub1_2,0.36
trial_0,sub1_3,0.25
trial_0,sub1_5,0.34
trial_0,sub1_6,0.26
trial_0,sub1_8,0.3
trial_0,sub1_10,0.42
trial_0,sub1_13,0.29
trial_0,sub1_14,0.28
trial_0,sub1_15,0.28
trial_0,sub1_16,0.37
trial_0,sub1_17,0.39
trial_0,sub1_18,0.33
trial_0,sub1_20,0.35
trial_0,sub1_21,0.31
trial_0,sub1_22,0.37
trial_0,sub1_23,0.34
trial_0,sub1_25,0.33
trial_0,sub1_26,0.35
trial_0,sub1_28,0.38
trial_0,sub1_29,0.35
trial_0,sub1_33,0.55
trial_0,sub1_35,0.54
trial_0,sub1_37,0.44
trial_0,sub1_38,0.31
trial_0,sub1_39,0.31
trial_0,sub1_40,0.41
trial_0,sub1_42,0.34
trial_0,sub1_43,0.28
trial_0,sub1_45,0.29
trial_0,sub1_46,0.3
trial_0,sub1_47,0.36
trial_0,sub1_48,0.35
trial_0,sub1_49,0.34
trial_0,sub1_51,0.39
trial_0,sub1_52,0.44
trial_0,sub1_53,0.32
trial_0,sub1_54,0.37
trial_0,sub1_55,0.34
trial_0,sub1_56,0.3
trial_0,sub1_57,0.39
trial_0,sub1_58,0.44
trial_0,sub1_59,0.47
trial_0,sub1_60,0.42
trial_0,sub2_10,0.32
trial_0,sub2_13,0.34
trial_0,sub2_14,0.36
trial_0,sub2_16,0.32
trial_0,sub2_17,0.33
trial_0,sub2_20,0.32
trial_0,sub2_21,0.33
trial_0,sub2_22,0.32
trial_0,sub2_25,0.32
trial_0,sub2_28,0.33
trial_0,sub2_29,0.33
trial_0,sub2_31,0.3
trial_0,sub2_32,0.3
trial_0,sub2_33,0.29
trial_0,sub2_34,0.3
trial_0,sub2_35,0.3
trial_0,sub2_37,0.37
trial_0,sub2_38,0.36
trial_0,sub2_39,0.34
trial_0,sub2_40,0.34
trial_0,sub2_43,0.35
trial_0,sub2_47,0.3
trial_0,sub2_48,0.31
trial_0,sub2_49,0.3
trial_0,sub2_51,0.35
trial_0,sub2_52,0.29
trial_0,sub2_53,0.31
trial_0,sub2_54,0.3
trial_0,sub2_55,0.34
trial_0,sub2_56,0.29
trial_0,sub2_57,0.29
trial_0,sub2_58,0.28
trial_0,sub2_59,0.29
trial_0,sub2_60,0.29
trial_0,sub3_1,0.29
trial_0,sub3_2,0.26
trial_0,sub3_5,0.27
trial_0,sub3_6,0.28
trial_0,sub3_7,0.25
trial_0,sub3_8,0.27
trial_0,sub3_9,0.27
trial_0,sub3_10,0.27
trial_0,sub3_11,0.28
trial_0,sub3_12,0.29
trial_0,sub3_13,0.3
trial_0,sub3_14,0.31
trial_0,sub3_15,0.31
trial_0,sub3_16,0.31
trial_0,sub3_17,0.3
trial_0,sub3_18,0.28
trial_0,sub3_19,0.28
trial_0,sub3_20,0.27
trial_0,sub3_21,0.27
trial_0,sub3_22,0.29
trial_0,sub3_23,0.27
trial_0,sub3_24,0.3
trial_0,sub3_25,0.29
trial_0,sub3_26,0.3
trial_0,sub3_27,0.3
trial_0,sub3_28,0.3
trial_0,sub3_29,0.35
trial_0,sub3_31,0.39
trial_0,sub3_32,0.38
trial_0,sub3_33,0.4
trial_0,sub3_34,0.41
trial_0,sub3_35,0.43
trial_0,sub3_36,0.44
trial_0,sub3_37,0.43
trial_0,sub3_38,0.42
trial_0,sub3_39,0.4
trial_0,sub3_40,0.38
trial_0,sub3_42,0.35
trial_0,sub3_43,0.32
trial_0,sub3_44,0.3
trial_0,sub3_45,0.25
trial_0,sub3_46,0.24
trial_0,sub3_47,0.25
trial_0,sub3_48,0.25
trial_0,sub3_49,0.26
trial_0,sub3_51,0.26
trial_0,sub3_52,0.26
trial_0,sub3_53,0.25
trial_0,sub3_54,0.27
trial_0,sub3_55,0.26
trial_0,sub3_56,0.26
trial_0,sub3_57,0.29
trial_0,sub3_58,0.28
trial_0,sub3_59,0.27
trial_0,sub3_60,0.29
trial_1,mas_1,0.15
trial_1,mas_3,0.28
trial_1,mas_4,0.27
trial_1,mas_5,0.26
trial_1,mas_6,0.2
trial_1,mas_7,0.2
trial_1,mas_9,0.24
trial_1,mas_10,0.22
trial_1,mas_12,0.23
trial_1,mas_13,0.2
trial_1,mas_15,0.3
trial_1,mas_16,0.33
trial_1,mas_17,0.22
trial_1,mas_18,0.22
trial_1,mas_19,0.27
trial_1,mas_20,0.2
trial_1,mas_21,0.21
trial_1,mas_22,0.24
trial_1,mas_23,0.2
trial_1,mas_24,0.19
trial_1,mas_25,0.21
trial_1,mas_27,0.2
trial_1,mas_29,0.22
