Trial,Seq,Value
trial_0,mas_7,0.39
trial_0,mas_9,0.59
trial_0,mas_34,0.37
trial_0,mas_38,0.31
trial_0,mas_39,0.54
trial_0,mas_70,0.28
trial_0,mas_71,0.31
trial_0,mas_74,0.32
trial_0,mas_75,0.29
trial_0,mas_88,0.32
trial_0,mas_93,0.79
trial_0,mas_96,0.45
trial_0,mas_97,0.59
trial_0,sub1_7,0.31
trial_0,sub1_17,0.32
trial_0,sub1_24,0.4
trial_0,sub1_25,0.42
trial_0,sub1_34,0.54
trial_0,sub1_38,0.37
trial_0,sub1_39,0.43
trial_0,sub1_52,0.37
trial_0,sub1_62,0.41
trial_0,sub1_64,0.4
trial_0,sub1_65,0.37
trial_0,sub1_66,0.35
trial_0,sub1_67,0.36
trial_0,sub1_68,0.42
trial_0,sub1_69,0.43
trial_0,sub1_70,0.33
trial_0,sub1_71,0.4
trial_0,sub1_75,0.5
trial_0,sub1_88,0.49
trial_0,sub1_93,0.38
trial_0,sub1_96,0.4
trial_0,sub1_97,0.41
trial_0,sub1_98,0.4
trial_0,sub2_7,0.51
trial_0,sub2_34,0.4
trial_0,sub2_38,0.39
trial_0,sub2_64,0.66
trial_0,sub2_70,0.62
trial_0,sub2_74,0.56
trial_0,sub2_75,0.55
trial_0,sub2_88,0.31
trial_0,sub2_93,0.34
trial_0,sub2_97,0.65
trial_0,sub2_98,0.64
trial_0,sub3_2,0.23
trial_0,sub3_3,0.24
trial_0,sub3_5,0.23
trial_0,sub3_7,0.2
trial_0,sub3_9,0.23
trial_0,sub3_10,0.22
trial_0,sub3_11,0.21
trial_0,sub3_17,0.38
trial_0,sub3_34,0.28
trial_0,sub3_38,0.34
trial_0,sub3_39,0.34
trial_0,sub3_52,0.44
trial_0,sub3_62,0.38
trial_0,sub3_64,0.33
trial_0,sub3_65,0.31
trial_0,sub3_66,0.28
trial_0,sub3_67,0.29
trial_0,sub3_68,0.29
trial_0,sub3_69,0.24
trial_0,sub3_70,0.28
trial_0,sub3_71,0.24
trial_0,sub3_74,0.31
trial_0,sub3_75,0.33
trial_0,sub3_88,0.28
trial_0,sub3_93,0.42
trial_0,sub3_96,0.42
trial_0,sub3_97,0.47
trial_0,sub3_98,0.44
