Trial,Seq,Value
trial_0,mas_4,0.29
trial_0,mas_6,0.32
trial_0,mas_9,0.23
trial_0,mas_11,0.22
trial_0,mas_13,0.2
trial_0,mas_14,0.24
trial_0,mas_15,0.23
trial_0,mas_37,0.65
trial_0,mas_49,0.46
trial_0,mas_82,0.95
trial_0,mas_86,0.96
trial_0,mas_103,0.28
trial_0,mas_107,0.24
trial_0,mas_108,0.19
trial_0,mas_110,0.2
trial_0,mas_112,0.22
trial_0,mas_113,0.22
trial_0,mas_115,0.23
trial_0,mas_116,0.21
trial_0,mas_129,0.36
trial_0,mas_154,0.65
trial_0,mas_156,0.78
trial_0,sub1_13,0.31
trial_0,sub1_37,0.24
trial_0,sub1_49,0.21
trial_0,sub1_82,0.54
trial_0,sub1_86,0.58
trial_0,sub1_113,0.34
trial_0,sub1_154,0.18
trial_0,sub1_156,0.22
trial_0,sub2_4,0.26
trial_0,sub2_6,0.27
trial_0,sub2_11,0.22
trial_0,sub2_12,0.21
trial_0,sub2_13,0.21
trial_0,sub2_14,0.24
trial_0,sub2_15,0.22
trial_0,sub2_37,0.7
trial_0,sub2_49,0.56
trial_0,sub2_82,0.94
trial_0,sub2_86,0.94
trial_0,sub2_103,0.64
trial_0,sub2_105,0.54
trial_0,sub2_107,0.51
trial_0,sub2_109,0.47
trial_0,sub2_110,0.44
trial_0,sub2_111,0.43
trial_0,sub2_113,0.45
trial_0,sub2_115,0.44
trial_0,sub2_116,0.4
trial_0,sub2_129,0.57
trial_0,sub2_154,0.66
trial_0,sub2_156,0.76
trial_0,sub3_11,0.29
trial_0,sub3_37,0.37
trial_0,sub3_49,0.36
trial_0,sub3_113,0.38
trial_0,sub3_154,0.36
trial_0,sub3_156,0.34
