Trial,Seq,Value
trial_0,mas_2,0.23
trial_0,mas_3,0.21
trial_0,mas_4,0.21
trial_0,mas_5,0.15
trial_0,mas_6,0.13
trial_0,mas_7,0.15
trial_0,mas_8,0.14
trial_0,mas_9,0.16
trial_0,mas_10,0.16
trial_0,mas_11,0.18
trial_0,mas_12,0.17
trial_0,mas_13,0.17
trial_0,mas_14,0.2
trial_0,mas_15,0.2
trial_0,mas_16,0.18
trial_0,mas_17,0.18
trial_0,mas_18,0.18
trial_0,mas_19,0.19
trial_0,mas_20,0.18
trial_0,mas_21,0.19
trial_0,mas_22,0.17
trial_0,mas_23,0.18
trial_0,mas_24,0.18
trial_0,mas_25,0.18
trial_0,mas_26,0.18
trial_0,mas_27,0.18
trial_0,mas_28,0.21
trial_0,mas_29,0.23
trial_0,mas_30,0.22
trial_0,mas_31,0.21
trial_0,mas_32,0.24
trial_0,mas_33,0.22
trial_0,mas_34,0.23
trial_0,mas_35,0.23
trial_0,mas_36,0.19
trial_0,mas_37,0.21
trial_0,mas_38,0.19
trial_0,mas_39,0.2
trial_0,mas_40,0.23
trial_0,mas_41,0.22
trial_0,mas_42,0.22
trial_0,mas_43,0.24
trial_0,mas_44,0.23
trial_0,mas_45,0.21
trial_0,mas_46,0.23
trial_0,mas_47,0.22
trial_0,mas_48,0.25
trial_0,mas_49,0.31
trial_0,mas_50,0.2
trial_0,mas_51,0.21
trial_0,mas_52,0.22
trial_0,mas_53,0.37
trial_0,mas_54,0.34
trial_0,mas_55,0.35
trial_0,mas_56,0.36
trial_0,mas_57,0.36
trial_0,mas_58,0.36
trial_0,mas_59,0.36
trial_0,mas_60,0.31
trial_0,mas_61,0.31
trial_0,mas_62,0.27
trial_0,mas_63,0.26
trial_0,mas_64,0.23
trial_0,mas_65,0.22
trial_0,mas_66,0.23
trial_0,mas_67,0.21
trial_0,mas_68,0.21
trial_0,mas_69,0.19
trial_0,mas_70,0.23
trial_0,mas_71,0.23
trial_0,mas_72,0.17
trial_0,mas_73,0.21
trial_0,mas_74,0.2
trial_0,mas_75,0.2
trial_0,mas_76,0.21
trial_0,mas_77,0.2
trial_0,mas_78,0.16
trial_0,mas_79,0.17
trial_0,mas_80,0.16
trial_0,mas_81,0.16
trial_0,mas_82,0.16
trial_0,mas_83,0.16
trial_0,mas_84,0.17
trial_0,mas_85,0.18
trial_0,mas_86,0.18
trial_0,mas_87,0.18
trial_0,mas_88,0.16
trial_0,mas_89,0.2
trial_0,mas_90,0.2
trial_0,mas_91,0.19
trial_0,mas_92,0.2
trial_0,mas_93,0.19
trial_0,mas_94,0.2
trial_0,mas_95,0.21
trial_0,mas_96,0.21
trial_0,mas_97,0.19
trial_0,mas_98,0.18
trial_0,mas_99,0.17
trial_0,mas_100,0.16
trial_0,mas_101,0.15
trial_0,mas_102,0.16
trial_0,mas_103,0.14
trial_0,mas_104,0.16
trial_0,mas_105,0.15
trial_0,mas_106,0.17
trial_0,mas_107,0.18
trial_0,mas_108,0.18
trial_0,mas_109,0.21
trial_0,mas_110,0.21
trial_0,sub1_2,0.21
trial_0,sub1_3,0.45
trial_0,sub1_4,0.44
trial_0,sub1_5,0.47
trial_0,sub1_6,0.44
trial_0,sub1_7,0.47
trial_0,sub1_8,0.45
trial_0,sub1_9,0.46
trial_0,sub1_10,0.46
trial_0,sub1_11,0.48
trial_0,sub1_12,0.48
trial_0,sub1_13,0.46
trial_0,sub1_14,0.43
trial_0,sub1_15,0.42
trial_0,sub1_16,0.37
trial_0,sub1_17,0.35
trial_0,sub1_18,0.36
trial_0,sub1_19,0.33
trial_0,sub1_20,0.32
trial_0,sub1_21,0.33
trial_0,sub1_22,0.33
trial_0,sub1_23,0.32
trial_0,sub1_24,0.31
trial_0,sub1_25,0.31
trial_0,sub1_26,0.31
trial_0,sub1_27,0.34
trial_0,sub1_28,0.29
trial_0,sub1_29,0.29
trial_0,sub1_30,0.28
trial_0,sub1_31,0.27
trial_0,sub1_32,0.28
trial_0,sub1_33,0.28
trial_0,sub1_34,0.25
trial_0,sub1_35,0.24
trial_0,sub1_36,0.32
trial_0,sub1_37,0.25
trial_0,sub1_38,0.32
trial_0,sub1_39,0.36
trial_0,sub1_40,0.37
trial_0,sub1_41,0.37
trial_0,sub1_42,0.37
trial_0,sub1_43,0.37
trial_0,sub1_44,0.44
trial_0,sub1_45,0.41
trial_0,sub1_46,0.43
trial_0,sub1_47,0.43
trial_0,sub1_48,0.39
trial_0,sub1_49,0.32
trial_0,sub1_50,0.39
trial_0,sub1_51,0.37
trial_0,sub1_52,0.38
trial_0,sub1_53,0.31
trial_0,sub1_54,0.3
trial_0,sub1_55,0.32
trial_0,sub1_56,0.32
trial_0,sub1_57,0.32
trial_0,sub1_58,0.29
trial_0,sub1_59,0.32
trial_0,sub1_60,0.32
trial_0,sub1_61,0.26
trial_0,sub1_62,0.27
trial_0,sub1_63,0.26
trial_0,sub1_64,0.23
trial_0,sub1_65,0.26
trial_0,sub1_66,0.24
trial_0,sub1_67,0.24
trial_0,sub1_68,0.26
trial_0,sub1_69,0.26
trial_0,sub1_70,0.26
trial_0,sub1_71,0.27
trial_0,sub1_72,0.23
trial_0,sub1_73,0.25
trial_0,sub1_74,0.26
trial_0,sub1_75,0.24
trial_0,sub1_76,0.31
trial_0,sub1_77,0.31
trial_0,sub1_78,0.22
trial_0,sub1_79,0.3
trial_0,sub1_80,0.31
trial_0,sub1_81,0.31
trial_0,sub1_82,0.32
trial_0,sub1_83,0.26
trial_0,sub1_84,0.31
trial_0,sub1_85,0.31
trial_0,sub1_86,0.32
trial_0,sub1_87,0.32
trial_0,sub1_88,0.36
trial_0,sub1_89,0.37
trial_0,sub1_90,0.31
trial_0,sub1_91,0.32
trial_0,sub1_92,0.3
trial_0,sub1_93,0.36
trial_0,sub1_94,0.33
trial_0,sub1_95,0.34
trial_0,sub1_96,0.31
trial_0,sub1_97,0.33
trial_0,sub1_98,0.29
trial_0,sub1_99,0.28
trial_0,sub1_100,0.26
trial_0,sub1_101,0.42
trial_0,sub1_102,0.42
trial_0,sub1_103,0.41
trial_0,sub1_104,0.41
trial_0,sub1_105,0.42
trial_0,sub1_106,0.45
trial_0,sub1_107,0.4
trial_0,sub1_108,0.26
trial_0,sub1_109,0.29
trial_0,sub1_110,0.28
trial_0,sub2_2,0.42
trial_0,sub2_3,0.51
trial_0,sub2_4,0.5
trial_0,sub2_5,0.51
trial_0,sub2_6,0.47
trial_0,sub2_7,0.43
trial_0,sub2_8,0.44
trial_0,sub2_9,0.43
trial_0,sub2_10,0.43
trial_0,sub2_11,0.48
trial_0,sub2_12,0.48
trial_0,sub2_13,0.47
trial_0,sub2_14,0.52
trial_0,sub2_15,0.44
trial_0,sub2_16,0.45
trial_0,sub2_17,0.43
trial_0,sub2_18,0.46
trial_0,sub2_19,0.44
trial_0,sub2_20,0.42
trial_0,sub2_21,0.45
trial_0,sub2_22,0.42
trial_0,sub2_23,0.43
trial_0,sub2_24,0.44
trial_0,sub2_25,0.47
trial_0,sub2_26,0.43
trial_0,sub2_27,0.46
trial_0,sub2_28,0.42
trial_0,sub2_29,0.39
trial_0,sub2_30,0.4
trial_0,sub2_31,0.36
trial_0,sub2_32,0.32
trial_0,sub2_33,0.33
trial_0,sub2_34,0.34
trial_0,sub2_35,0.35
trial_0,sub2_36,0.34
trial_0,sub2_37,0.32
trial_0,sub2_38,0.39
trial_0,sub2_39,0.41
trial_0,sub2_40,0.4
trial_0,sub2_41,0.39
trial_0,sub2_42,0.39
trial_0,sub2_43,0.36
trial_0,sub2_44,0.38
trial_0,sub2_45,0.38
trial_0,sub2_46,0.4
trial_0,sub2_47,0.4
trial_0,sub2_48,0.42
trial_0,sub2_49,0.39
trial_0,sub2_50,0.42
trial_0,sub2_51,0.43
trial_0,sub2_52,0.43
trial_0,sub2_53,0.42
trial_0,sub2_54,0.42
trial_0,sub2_55,0.43
trial_0,sub2_56,0.43
trial_0,sub2_57,0.31
trial_0,sub2_58,0.29
trial_0,sub2_59,0.43
trial_0,sub2_60,0.47
trial_0,sub2_61,0.3
trial_0,sub2_62,0.45
trial_0,sub2_63,0.31
trial_0,sub2_64,0.32
trial_0,sub2_65,0.3
trial_0,sub2_66,0.34
trial_0,sub2_67,0.29
trial_0,sub2_68,0.29
trial_0,sub2_69,0.28
trial_0,sub2_70,0.22
trial_0,sub2_71,0.26
trial_0,sub2_72,0.26
trial_0,sub2_73,0.25
trial_0,sub2_74,0.26
trial_0,sub2_75,0.34
trial_0,sub2_76,0.29
trial_0,sub2_77,0.41
