Trial,Seq,Value
trial_0,mas_0,0.26
trial_0,mas_1,0.29
trial_0,mas_7,0.33
trial_0,mas_8,0.35
trial_0,mas_9,0.34
trial_0,mas_10,0.35
trial_0,mas_11,0.38
trial_0,mas_12,0.41
trial_0,mas_17,0.29
trial_0,mas_18,0.24
trial_0,mas_21,0.24
trial_0,mas_22,0.3
trial_0,mas_35,0.31
trial_0,mas_36,0.31
trial_0,mas_37,0.29
trial_0,mas_38,0.36
trial_0,mas_40,0.35
trial_0,mas_41,0.33
trial_0,mas_43,0.28
trial_0,mas_44,0.27
trial_0,mas_45,0.28
trial_0,mas_48,0.3
trial_0,mas_50,0.27
trial_0,mas_51,0.25
trial_0,mas_52,0.48
trial_0,mas_60,0.37
trial_0,mas_78,0.38
trial_0,sub1_0,0.59
trial_0,sub1_8,0.38
trial_0,sub1_11,0.42
trial_0,sub1_14,0.41
trial_0,sub1_17,0.25
trial_0,sub1_22,0.33
trial_0,sub1_26,0.25
trial_0,sub1_27,0.25
trial_0,sub1_28,0.27
trial_0,sub1_35,0.22
trial_0,sub1_37,0.25
trial_0,sub1_38,0.33
trial_0,sub1_40,0.35
trial_0,sub1_41,0.3
trial_0,sub1_43,0.25
trial_0,sub1_44,0.23
trial_0,sub1_45,0.21
trial_0,sub1_47,0.25
trial_0,sub1_48,0.26
trial_0,sub1_51,0.28
trial_0,sub1_78,0.21
trial_0,sub2_0,0.31
trial_0,sub2_8,0.27
trial_0,sub2_9,0.25
trial_0,sub2_10,0.23
trial_0,sub2_11,0.26
trial_0,sub2_14,0.26
trial_0,sub2_15,0.26
trial_0,sub2_22,0.45
trial_0,sub2_28,0.9
trial_0,sub2_35,0.86
trial_0,sub2_37,0.78
trial_0,sub2_38,0.68
trial_0,sub2_40,0.64
trial_0,sub2_43,0.42
trial_0,sub2_44,0.41
trial_0,sub2_45,0.36
trial_0,sub2_48,0.38
trial_0,sub2_60,0.32
trial_0,sub2_78,0.29
trial_0,sub3_0,0.23
trial_0,sub3_7,0.29
trial_0,sub3_8,0.3
trial_0,sub3_9,0.3
trial_0,sub3_10,0.34
trial_0,sub3_11,0.36
trial_0,sub3_12,0.37
trial_0,sub3_13,0.33
trial_0,sub3_14,0.31
trial_0,sub3_15,0.31
trial_0,sub3_17,0.21
trial_0,sub3_22,0.27
trial_0,sub3_26,0.24
trial_0,sub3_27,0.23
trial_0,sub3_28,0.22
trial_0,sub3_35,0.21
trial_0,sub3_37,0.22
trial_0,sub3_38,0.34
trial_0,sub3_40,0.28
trial_0,sub3_41,0.3
trial_0,sub3_43,0.29
trial_0,sub3_45,0.34
trial_0,sub3_48,0.33
trial_0,sub3_51,0.37
trial_0,sub3_60,0.34
trial_0,sub3_62,0.34
trial_0,sub3_78,0.25
