Trial,Seq,Value
trial_0,mas_23,0.29
trial_0,mas_24,0.29
trial_0,mas_33,0.5
trial_0,mas_71,0.69
trial_0,mas_92,0.52
trial_0,sub1_20,0.33
trial_0,sub1_27,0.52
trial_0,sub1_28,0.48
trial_0,sub1_31,0.46
trial_0,sub1_32,0.46
trial_0,sub1_33,0.44
trial_0,sub1_34,0.47
trial_0,sub1_36,0.47
trial_0,sub1_38,0.37
trial_0,sub1_39,0.38
trial_0,sub1_46,0.51
trial_0,sub1_82,0.46
trial_0,sub1_84,0.52
trial_0,sub1_86,0.49
trial_0,sub1_87,0.5
trial_0,sub1_88,0.49
trial_0,sub1_89,0.52
trial_0,sub1_90,0.52
trial_0,sub1_91,0.53
trial_0,sub1_92,0.55
trial_0,sub1_93,0.55
trial_0,sub1_110,0.5
trial_0,sub1_111,0.43
trial_0,sub2_24,0.77
trial_0,sub2_33,1.0
trial_0,sub2_71,0.22
trial_0,sub2_92,0.87
trial_0,sub2_111,0.89
trial_0,sub2_112,0.97
trial_0,sub3_19,0.32
trial_0,sub3_20,0.31
trial_0,sub3_23,0.37
trial_0,sub3_24,0.42
trial_0,sub3_26,0.32
trial_0,sub3_27,0.31
trial_0,sub3_28,0.35
trial_0,sub3_31,0.35
trial_0,sub3_32,0.36
trial_0,sub3_33,0.35
trial_0,sub3_34,0.38
trial_0,sub3_35,0.36
trial_0,sub3_36,0.34
trial_0,sub3_38,0.33
trial_0,sub3_39,0.32
trial_0,sub3_46,0.33
trial_0,sub3_71,0.34
trial_0,sub3_82,0.34
trial_0,sub3_84,0.36
trial_0,sub3_86,0.36
trial_0,sub3_87,0.33
trial_0,sub3_88,0.34
trial_0,sub3_89,0.36
trial_0,sub3_90,0.36
trial_0,sub3_91,0.38
trial_0,sub3_92,0.33
trial_0,sub3_93,0.34
trial_0,sub3_94,0.37
trial_0,sub3_95,0.34
trial_0,sub3_98,0.4
trial_0,sub3_99,0.44
trial_0,sub3_110,0.37
trial_0,sub3_111,0.32
trial_0,sub3_112,0.33
