Trial,Seq,Value
trial_0,mas_9,0.24
trial_0,mas_12,0.23
trial_0,mas_29,0.33
trial_0,mas_31,0.27
trial_0,mas_32,0.25
trial_0,mas_34,0.23
trial_0,mas_35,0.21
trial_0,mas_49,0.28
trial_0,mas_50,0.35
trial_0,mas_52,0.37
trial_0,mas_58,0.59
trial_0,mas_62,0.57
trial_0,mas_67,0.55
trial_0,mas_72,0.42
trial_0,mas_73,0.52
trial_0,mas_75,0.48
trial_0,mas_76,0.51
trial_0,mas_84,0.33
trial_0,mas_85,0.28
trial_0,mas_89,0.27
trial_0,mas_90,0.27
trial_0,mas_91,0.29
trial_0,mas_95,0.25
trial_0,mas_96,0.24
trial_0,mas_98,0.21
trial_0,mas_105,0.2
trial_0,mas_121,0.26
trial_0,sub1_9,0.34
trial_0,sub1_12,0.28
trial_0,sub1_29,0.23
trial_0,sub1_31,0.27
trial_0,sub1_32,0.26
trial_0,sub1_34,0.25
trial_0,sub1_49,0.27
trial_0,sub1_50,0.32
trial_0,sub1_51,0.3
trial_0,sub1_52,0.3
trial_0,sub1_58,0.27
trial_0,sub1_62,0.3
trial_0,sub1_67,0.19
trial_0,sub1_69,0.19
trial_0,sub1_73,0.17
trial_0,sub1_75,0.2
trial_0,sub1_76,0.19
trial_0,sub1_84,0.24
trial_0,sub1_85,0.26
trial_0,sub1_89,0.22
trial_0,sub1_90,0.28
trial_0,sub1_92,0.26
trial_0,sub1_94,0.25
trial_0,sub1_95,0.26
trial_0,sub1_96,0.26
trial_0,sub1_97,0.26
trial_0,sub1_98,0.26
trial_0,sub1_105,0.38
trial_0,sub1_113,0.26
trial_0,sub2_9,0.33
trial_0,sub2_12,0.39
trial_0,sub2_29,0.42
trial_0,sub2_31,0.45
trial_0,sub2_32,0.48
trial_0,sub2_34,0.5
trial_0,sub2_50,0.31
trial_0,sub2_51,0.33
trial_0,sub2_58,0.29
trial_0,sub2_62,0.26
trial_0,sub2_73,0.42
trial_0,sub2_75,0.4
trial_0,sub2_76,0.35
trial_0,sub2_84,0.35
trial_0,sub2_89,0.4
trial_0,sub2_90,0.45
trial_0,sub2_91,0.41
trial_0,sub2_92,0.41
trial_0,sub2_95,0.47
trial_0,sub2_96,0.53
trial_0,sub2_98,0.54
trial_0,sub2_105,0.36
trial_0,sub2_121,0.32
trial_0,sub3_9,0.32
trial_0,sub3_12,0.27
trial_0,sub3_15,0.27
trial_0,sub3_29,0.27
trial_0,sub3_31,0.29
trial_0,sub3_32,0.3
trial_0,sub3_34,0.23
trial_0,sub3_49,0.31
trial_0,sub3_50,0.35
trial_0,sub3_51,0.32
trial_0,sub3_52,0.32
trial_0,sub3_58,0.31
trial_0,sub3_62,0.24
trial_0,sub3_67,0.22
trial_0,sub3_69,0.22
trial_0,sub3_72,0.22
trial_0,sub3_73,0.22
trial_0,sub3_75,0.24
trial_0,sub3_76,0.22
trial_0,sub3_84,0.25
trial_0,sub3_85,0.3
trial_0,sub3_89,0.29
trial_0,sub3_90,0.32
trial_0,sub3_92,0.3
trial_0,sub3_95,0.29
trial_0,sub3_96,0.29
trial_0,sub3_97,0.3
trial_0,sub3_98,0.32
trial_0,sub3_105,0.24
trial_0,sub3_113,0.27
trial_0,sub3_121,0.31
