Trial,Seq,Value
trial_0,mas_2,0.17
trial_0,mas_3,0.2
trial_0,mas_7,0.23
trial_0,mas_8,0.23
trial_0,mas_9,0.22
trial_0,mas_10,0.21
trial_0,mas_12,0.23
trial_0,mas_13,0.22
trial_0,mas_14,0.23
trial_0,mas_16,0.24
trial_0,mas_19,0.17
trial_0,mas_24,0.16
trial_0,mas_44,0.32
trial_0,mas_47,0.31
trial_0,mas_50,0.3
trial_0,mas_51,0.29
trial_0,mas_52,0.27
trial_0,mas_53,0.25
trial_0,mas_54,0.25
trial_0,mas_55,0.24
trial_0,mas_56,0.24
trial_0,mas_62,0.24
trial_0,mas_72,0.17
trial_0,mas_77,0.17
trial_0,mas_81,0.17
trial_0,mas_88,0.21
trial_0,mas_89,0.17
trial_0,mas_95,0.21
trial_0,mas_96,0.22
trial_0,mas_104,0.24
trial_0,sub1_2,0.18
trial_0,sub1_3,0.16
trial_0,sub1_8,0.17
trial_0,sub1_10,0.15
trial_0,sub1_12,0.29
trial_0,sub1_14,0.29
trial_0,sub1_16,0.26
trial_0,sub1_24,0.14
trial_0,sub1_28,0.16
trial_0,sub1_38,0.17
trial_0,sub1_43,0.29
trial_0,sub1_44,0.29
trial_0,sub1_51,0.3
trial_0,sub1_52,0.31
trial_0,sub1_53,0.29
trial_0,sub1_54,0.28
trial_0,sub1_55,0.26
trial_0,sub1_56,0.2
trial_0,sub1_59,0.15
trial_0,sub1_62,0.21
trial_0,sub1_72,0.22
trial_0,sub1_77,0.22
trial_0,sub1_81,0.2
trial_0,sub1_88,0.16
trial_0,sub1_89,0.15
trial_0,sub1_93,0.14
trial_0,sub1_94,0.14
trial_0,sub1_95,0.17
trial_0,sub1_96,0.16
trial_0,sub1_102,0.14
trial_0,sub1_104,0.16
trial_0,sub2_2,0.3
trial_0,sub2_7,0.25
trial_0,sub2_8,0.25
trial_0,sub2_10,0.26
trial_0,sub2_12,0.26
trial_0,sub2_14,0.27
trial_0,sub2_24,0.31
trial_0,sub2_38,0.24
trial_0,sub2_43,0.35
trial_0,sub2_44,0.36
trial_0,sub2_51,0.31
trial_0,sub2_52,0.25
trial_0,sub2_55,0.22
trial_0,sub2_56,0.24
trial_0,sub2_59,0.27
trial_0,sub2_62,0.27
trial_0,sub2_72,0.3
trial_0,sub2_77,0.29
trial_0,sub2_95,0.24
trial_0,sub2_96,0.24
trial_0,sub3_2,0.26
trial_0,sub3_3,0.23
trial_0,sub3_8,0.27
trial_0,sub3_10,0.24
trial_0,sub3_12,0.24
trial_0,sub3_13,0.24
trial_0,sub3_14,0.25
trial_0,sub3_24,0.19
trial_0,sub3_28,0.28
trial_0,sub3_38,0.2
trial_0,sub3_43,0.35
trial_0,sub3_44,0.34
trial_0,sub3_52,0.27
trial_0,sub3_53,0.27
trial_0,sub3_54,0.27
trial_0,sub3_55,0.24
trial_0,sub3_56,0.27
trial_0,sub3_59,0.22
trial_0,sub3_62,0.27
trial_0,sub3_72,0.23
trial_0,sub3_77,0.24
trial_0,sub3_81,0.28
trial_0,sub3_88,0.21
trial_0,sub3_89,0.21
trial_0,sub3_93,0.22
trial_0,sub3_94,0.22
trial_0,sub3_95,0.25
trial_0,sub3_96,0.25
trial_0,sub3_102,0.22
trial_0,sub3_104,0.23
