Trial,Seq,Value
trial_0,mas_5,0.22
trial_0,mas_12,0.21
trial_0,mas_38,0.2
trial_0,mas_43,0.17
trial_0,mas_46,0.19
trial_0,mas_48,0.2
trial_0,mas_49,0.23
trial_0,mas_50,0.25
trial_0,mas_51,0.2
trial_0,mas_56,0.25
trial_0,mas_57,0.22
trial_0,mas_58,0.21
trial_0,mas_59,0.2
trial_0,mas_61,0.17
trial_0,mas_62,0.33
trial_0,mas_63,0.19
trial_0,mas_64,0.2
trial_0,mas_65,0.19
trial_0,mas_66,0.18
trial_0,mas_67,0.21
trial_0,mas_68,0.21
trial_0,mas_76,0.27
trial_0,mas_77,0.3
trial_0,mas_78,0.27
trial_0,mas_79,0.17
trial_0,mas_80,0.2
trial_0,mas_91,0.32
trial_0,mas_96,0.18
trial_0,mas_100,0.2
trial_0,mas_104,0.26
trial_0,mas_105,0.23
trial_0,mas_106,0.28
trial_0,mas_112,0.38
trial_0,mas_113,0.32
trial_0,mas_114,0.33
trial_0,mas_118,0.21
trial_0,mas_121,0.35
trial_0,sub1_5,0.18
trial_0,sub1_12,0.17
trial_0,sub1_38,0.27
trial_0,sub1_42,0.32
trial_0,sub1_43,0.28
trial_0,sub1_46,0.24
trial_0,sub1_48,0.26
trial_0,sub1_49,0.21
trial_0,sub1_50,0.2
trial_0,sub1_51,0.2
trial_0,sub1_56,0.2
trial_0,sub1_57,0.24
trial_0,sub1_59,0.24
trial_0,sub1_61,0.24
trial_0,sub1_62,0.23
trial_0,sub1_63,0.22
trial_0,sub1_64,0.22
trial_0,sub1_65,0.15
trial_0,sub1_66,0.18
trial_0,sub1_67,0.2
trial_0,sub1_68,0.18
trial_0,sub1_76,0.18
trial_0,sub1_77,0.19
trial_0,sub1_78,0.23
trial_0,sub1_91,0.29
trial_0,sub1_96,0.16
trial_0,sub1_100,0.16
trial_0,sub1_104,0.14
trial_0,sub1_105,0.16
trial_0,sub1_106,0.18
trial_0,sub1_112,0.34
trial_0,sub1_114,0.49
trial_0,sub1_118,0.27
trial_0,sub1_121,0.29
trial_0,sub2_5,0.21
trial_0,sub2_12,0.26
trial_0,sub2_38,0.51
trial_0,sub2_42,0.68
trial_0,sub2_43,0.56
trial_0,sub2_46,0.59
trial_0,sub2_48,0.55
trial_0,sub2_49,0.43
trial_0,sub2_50,0.44
trial_0,sub2_51,0.44
trial_0,sub2_56,0.36
trial_0,sub2_57,0.34
trial_0,sub2_58,0.38
trial_0,sub2_59,0.32
trial_0,sub2_61,0.36
trial_0,sub2_63,0.33
trial_0,sub2_64,0.34
trial_0,sub2_65,0.4
trial_0,sub2_66,0.42
trial_0,sub2_67,0.43
trial_0,sub2_68,0.38
trial_0,sub2_76,0.37
trial_0,sub2_77,0.34
trial_0,sub2_78,0.32
trial_0,sub2_80,0.35
trial_0,sub2_91,0.4
trial_0,sub2_96,0.34
trial_0,sub2_100,0.32
trial_0,sub2_104,0.39
trial_0,sub2_105,0.34
trial_0,sub2_106,0.38
trial_0,sub2_112,0.3
trial_0,sub2_114,0.35
trial_0,sub2_118,0.37
trial_0,sub2_121,0.48
trial_0,sub3_5,0.21
trial_0,sub3_12,0.17
trial_0,sub3_38,0.23
trial_0,sub3_42,0.21
trial_0,sub3_43,0.22
trial_0,sub3_46,0.2
trial_0,sub3_48,0.21
trial_0,sub3_49,0.2
trial_0,sub3_50,0.22
trial_0,sub3_51,0.22
trial_0,sub3_56,0.28
trial_0,sub3_57,0.23
trial_0,sub3_58,0.25
trial_0,sub3_59,0.26
trial_0,sub3_61,0.28
trial_0,sub3_62,0.37
trial_0,sub3_63,0.37
trial_0,sub3_64,0.34
trial_0,sub3_65,0.15
trial_0,sub3_66,0.19
trial_0,sub3_67,0.18
trial_0,sub3_68,0.21
trial_0,sub3_76,0.25
trial_0,sub3_77,0.26
trial_0,sub3_78,0.28
trial_0,sub3_79,0.32
trial_0,sub3_80,0.35
trial_0,sub3_91,0.34
trial_0,sub3_96,0.23
trial_0,sub3_100,0.22
trial_0,sub3_104,0.18
trial_0,sub3_105,0.18
trial_0,sub3_106,0.19
trial_0,sub3_111,0.24
trial_0,sub3_112,0.22
trial_0,sub3_114,0.18
trial_0,sub3_118,0.17
trial_0,sub3_121,0.24
