Trial,Seq,Value
trial_0,mas_1,0.24
trial_0,mas_2,0.26
trial_0,mas_4,0.33
trial_0,mas_15,0.28
trial_0,mas_16,0.33
trial_0,mas_18,0.24
trial_0,mas_24,0.48
trial_0,mas_25,0.31
trial_0,mas_36,0.2
trial_0,mas_37,0.18
trial_0,mas_38,0.21
trial_0,mas_42,0.27
trial_0,mas_45,0.24
trial_0,mas_46,0.26
trial_0,mas_52,0.26
trial_0,mas_55,0.25
trial_0,mas_62,0.3
trial_0,mas_63,0.3
trial_0,mas_66,0.26
trial_0,mas_77,0.23
trial_0,mas_84,0.21
trial_0,mas_100,0.23
trial_0,mas_101,0.2
trial_0,mas_102,0.2
trial_0,mas_103,0.2
trial_0,mas_108,0.22
trial_0,mas_109,0.22
trial_0,sub1_1,0.21
trial_0,sub1_2,0.15
trial_0,sub1_10,0.26
trial_0,sub1_15,0.21
trial_0,sub1_18,0.24
trial_0,sub1_24,0.3
trial_0,sub1_25,0.26
trial_0,sub1_36,0.22
trial_0,sub1_37,0.21
trial_0,sub1_38,0.25
trial_0,sub1_42,0.3
trial_0,sub1_45,0.25
trial_0,sub1_46,0.26
trial_0,sub1_48,0.27
trial_0,sub1_49,0.28
trial_0,sub1_52,0.28
trial_0,sub1_55,0.23
trial_0,sub1_66,0.27
trial_0,sub1_69,0.36
trial_0,sub1_77,0.28
trial_0,sub1_84,0.19
trial_0,sub1_100,0.18
trial_0,sub1_101,0.16
trial_0,sub1_102,0.15
trial_0,sub1_103,0.16
trial_0,sub1_108,0.36
trial_0,sub1_109,0.33
trial_0,sub2_1,0.29
trial_0,sub2_2,0.23
trial_0,sub2_7,0.28
trial_0,sub2_15,0.25
trial_0,sub2_16,0.25
trial_0,sub2_18,0.28
trial_0,sub2_24,0.75
trial_0,sub2_25,0.59
trial_0,sub2_38,0.69
trial_0,sub2_42,0.6
trial_0,sub2_46,0.6
trial_0,sub2_52,0.46
trial_0,sub2_55,0.33
trial_0,sub2_56,0.31
trial_0,sub2_62,0.27
trial_0,sub2_66,0.32
trial_0,sub2_69,0.34
trial_0,sub2_84,0.45
trial_0,sub2_101,0.49
trial_0,sub2_102,0.5
trial_0,sub2_108,0.41
trial_0,sub2_109,0.39
trial_0,sub3_1,0.32
trial_0,sub3_2,0.23
trial_0,sub3_7,0.32
trial_0,sub3_10,0.25
trial_0,sub3_15,0.25
trial_0,sub3_16,0.29
trial_0,sub3_18,0.24
trial_0,sub3_24,0.26
trial_0,sub3_25,0.23
trial_0,sub3_36,0.29
trial_0,sub3_37,0.25
trial_0,sub3_38,0.28
trial_0,sub3_42,0.32
trial_0,sub3_45,0.28
trial_0,sub3_46,0.29
trial_0,sub3_52,0.25
trial_0,sub3_55,0.25
trial_0,sub3_56,0.35
trial_0,sub3_62,0.3
trial_0,sub3_63,0.31
trial_0,sub3_66,0.23
trial_0,sub3_69,0.24
trial_0,sub3_77,0.24
trial_0,sub3_84,0.26
trial_0,sub3_100,0.25
trial_0,sub3_101,0.27
trial_0,sub3_108,0.33
trial_0,sub3_109,0.32
