Trial,Seq,Value
trial_0,mas_0,0.14
trial_0,mas_1,0.16
trial_0,mas_2,0.14
trial_0,mas_3,0.14
trial_0,mas_4,0.15
trial_0,mas_5,0.2
trial_0,mas_6,0.19
trial_0,mas_7,0.21
trial_0,mas_8,0.2
trial_0,mas_9,0.21
trial_0,mas_11,0.24
trial_0,mas_12,0.24
trial_0,mas_13,0.23
trial_0,mas_14,0.23
trial_0,mas_15,0.24
trial_0,mas_46,0.21
trial_0,mas_50,0.2
trial_0,mas_71,0.36
trial_0,mas_119,0.47
trial_0,sub1_1,0.17
trial_0,sub1_4,0.18
trial_0,sub1_6,0.17
trial_0,sub1_8,0.2
trial_0,sub1_11,0.21
trial_0,sub1_13,0.22
trial_0,sub1_15,0.27
trial_0,sub1_18,0.28
trial_0,sub1_19,0.32
trial_0,sub1_22,0.3
trial_0,sub1_45,0.28
trial_0,sub1_53,0.38
trial_0,sub1_79,0.4
trial_0,sub1_80,0.43
trial_0,sub1_82,0.43
trial_0,sub1_87,0.47
trial_0,sub1_89,0.35
trial_0,sub1_104,0.29
trial_0,sub1_119,0.4
trial_0,sub1_121,0.37
trial_0,sub1_129,0.44
trial_0,sub2_1,0.17
trial_0,sub2_3,0.2
trial_0,sub2_4,0.2
trial_0,sub2_5,0.2
trial_0,sub2_6,0.2
trial_0,sub2_7,0.21
trial_0,sub2_8,0.22
trial_0,sub2_11,0.24
trial_0,sub2_12,0.24
trial_0,sub2_15,0.34
trial_0,sub2_18,0.39
trial_0,sub2_19,0.41
trial_0,sub2_22,0.47
trial_0,sub2_46,0.4
trial_0,sub2_50,0.52
trial_0,sub2_52,0.53
trial_0,sub2_53,0.52
trial_0,sub2_71,0.6
trial_0,sub2_119,0.53
trial_0,sub3_3,0.21
trial_0,sub3_4,0.21
trial_0,sub3_5,0.26
trial_0,sub3_11,0.25
trial_0,sub3_18,0.21
trial_0,sub3_19,0.22
trial_0,sub3_22,0.22
trial_0,sub3_43,0.25
trial_0,sub3_46,0.25
trial_0,sub3_52,0.24
trial_0,sub3_71,0.21
trial_0,sub3_79,0.3
trial_0,sub3_80,0.31
trial_0,sub3_82,0.3
trial_0,sub3_88,0.21
trial_0,sub3_89,0.21
trial_0,sub3_104,0.24
trial_0,sub3_119,0.22
trial_0,sub3_129,0.19
